ARK;"Dénomination / Titre";Auteur;"Date de création";"Numéro d’inventaire";Collection
cl010053017;"Portrait d'Anne de Lattre, abbesse du couvent Notre-Dame-de-Beaulieu à Sin-le-Noble (près de Douai) de 1556 à 1607";"Anonyme ; France";"1560 / 1600  (Fin du XVIe siècle)";"MI 849; D.1955.1.1";"Département des Peintures"
cl010053018;"Un Concert champêtre";"Anonyme ; France";"1700 / 1800  (XVIIIe siècle)";"INV 8861; B 1315";"Département des Peintures"
cl010053020;"Le Denier de la veuve";"Colas, Alphonse ; France";1863;"RF 1979 24; INV 20757";"Département des Peintures"
cl010053021;"Adam et Ève";"Couder, Auguste ; France";"1800 / 1900  (XIXe siècle)";"INV 3377; L 3798";"Département des Peintures"
cl010053024;"Paysage avec pêcheur à la ligne et berger";"Oudry, Jean-Baptiste ; France";"1700 / 1800  (XVIIIe siècle)";"INV 7057; B 898";"Département des Peintures"
cl010053025;"Le Miracle du prophète Elisée en faveur d'une pauvre veuve, dont l'huile se multiplie, dit aussi, La Veuve de Sarepta";"France ; Lépicié, Nicolas-Bernard";"1700 / 1800  (XVIIIe siècle)";"INV 8550; B 1351";"Département des Peintures"
cl010053026;"Bacchus sur les nuages";"Anonyme ; France";"1700 / 1800  (XVIIIe siècle)";"INV 8610";"Département des Peintures"
cl010053027;"Junon sur les nuées avec un zéphire";"Anonyme ; France";"1700 / 1800  (XVIIIe siècle)";"INV 8638";"Département des Peintures"
cl010053028;"Herminie chez les bergers";"France ; Durameau, Louis-Jacques";"1700 / 1800  (XVIIIe siècle)";"INV 8726; B 1484";"Département des Peintures"
cl010053029;"Mucius Scaevola devant Porsenna. Esquisse.";"Boucher, François ; France";"1700 / 1800  (XVIIIe siècle)";"MI 1360";"Département des Peintures"
cl010053031;"Vue du port de Dunkerque";"France ; Isabey, Eugène";"1800 / 1900  (XIXe siècle)";"INV 5431; LP 37";"Département des Peintures"
cl010053037;"Étude de tête de femme italienne à la boucle d'oreille";"Chassériau, Théodore ; France";"1840 / 1841  (XIXe siècle)";"RF 3866";"Département des Peintures"
cl010053039;"Paysage au pont.";"Patel, Pierre ; France";"1600 / 1700  (XVIIe siècle)";"INV 7130; MR 2284";"Département des Peintures"
cl010053040;"Le Christ au roseau";"Scheffer, Ary ; France";"1800 / 1900  (XIXe siècle)";"RF 518";"Département des Peintures"
cl010053041;"Tête de la Grande Odalisque";"France ; Ingres, Jean-Auguste-Dominique";"1800 / 1900  (XIXe siècle)";"RF 2519";"Département des Peintures"
cl010053042;"Le Siège de Cambrai, 1677";"Van der Meulen, Adam Frans ; France";1685;"INV 20293";"Département des Peintures"
cl010053045;"Saint Jérôme dans le désert ; paysage";"Watelet, Louis-Étienne ; France";1822;"INV 8518; L 3864";"Département des Peintures"
cl010053046;"Portrait en pied de Napoléon";"Riesener, Henri François ; France";1808;"INV 7485; MR 2387";"Département des Peintures"
cl010053047;"La Prudence ; figure allégorique";"Grenier de Saint Martin, Francisque ; France";"1800 / 1900  (XIXe siècle)";"INV 5028; L 3647";"Département des Peintures"
cl010053048;"François Ier rejetant l'offre que lui font les Gantois révoltés contre la domination de Charles-Quint de se soumettre à son autorité.";"Rouget, Georges ; France";"1800 / 1900  (XIXe siècle)";"INV 7738; C 419; LP 274";"Département des Peintures"
cl010053050;"Étude d'enfant";"Amaury-Duval, Eugène Emmanuel Pineu-Duval, dit ; France";1864;"RF 58";"Département des Peintures"
cl010053051;"Pêche du hareng par les barques de Dieppe";"Garneray, Ambroise Louis ; France";"1800 / 1900  (XIXe siècle)";"INV 4672; LP 28; D.970.1.2";"Département des Peintures"
cl010053052;"La Tempérance";"Palmerini, Jean Baptiste ; France";"1800 / 1900  (XIXe siècle)";"INV 7086; L 3648";"Département des Peintures"
cl010053054;"Le Cheval et le loup (Fable de La Fontaine)";"Bachelier, Jean Jacques ; France";1755;"INV 2385; LP 4400";"Département des Peintures"
cl010053057;"L'Arrivée (Plusieurs personnes aident une dame à descendre d'âne)";"Anonyme ; France";"1700 / 1800  (XVIIIe siècle)";"INV 8865; B 1606";"Département des Peintures"
cl010053058;"Le Ravissement de saint Philippe après le baptême de l'eunuque de la reine d'Éthiopie";"Blanchet, Thomas ; France";1663;"MI 300; D 938 10";"Département des Peintures"
cl010053059;"Le Triomphe d'Amphitrite";"Pierre, Jean-Baptiste-Marie ; France";"1700 / 1800  (XVIIIe siècle)";"MI 1424; D 872 2";"Département des Peintures"
cl010053061;"Vue prise de la ville de Phoenos et du temple de Minerve";"Bertin, Jean-Victor ; France";"1800 / 1900  (XIXe siècle)";"INV 2546; MR 1194";"Département des Peintures"
cl010053062;"Paysage, site du Brésil, avec la prédication de saint Jean Baptiste";"Taunay, Nicolas Antoine ; France";1819;"INV 8116; L 3746";"Département des Peintures"
cl010053063;"La Prise d'une ville. Épisode situé dans l'Antiquité.";"France ; Taunay, Nicolas Antoine";"1700 / 1800  (XVIIIe siècle)";"INV 8118; MR 2511";"Département des Peintures"
cl010053064;"Scène du combat des Centaures et des Lapithes";"Alaux, Jean ; France";1820;"INV 2219; C 18; N.Mba 6180";"Département des Peintures"
cl010053067;"Portrait de la Michodière";"Duplessis, Joseph Siffred ; France";1775;"RF 1944 13; N.Mba 2824";"Département des Peintures"
cl010053068;"Portrait d'homme âgé";"Fragonard, Jean-Honoré ; France";"1700 / 1800  (XVIIIe siècle)";"RF 1945 27; N.Mba 2738";"Département des Peintures"
cl010053069;"Célébration de la messe à l'autel de Notre-Dame de Bon-Secours";"France ; Granet, François Marius";1843;"INV 5013; LP 6708; N.Mba 6185";"Département des Peintures"
cl010053070;"Neptune protégeant la nymphe Amymone poursuivie par un satyre qui va être transformé en rocher";"Van Loo, Charles-André ; France";1757;"INV 6276; MR 2572; N. Mba 2321";"Département des Peintures"
cl010053072;Polichinelle;"Van Loo, Charles-André ; France";"1728 / 1732  (XVIIIe siècle)";"RF 1952 22";"Département des Peintures"
cl010053075;"La Sultane favorite avec ses femmes, servie par des eunuques noirs et blancs";"Van Loo, Charles-Amédée ; France";1773;"INV 6385; MR 2583; N.Mba 2322";"Département des Peintures"
cl010053076;"La Sultane et les Odalisques";"Van Loo, Charles-Amédée ; France";1774;"INV 6387; MR 2585; N.Mba 2323";"Département des Peintures"
cl010053077;"Apollon sur son char";"Anonyme ; France";"1600 / 1700  (XVIIe siècle)";"MI 1425; N.Mba 37";"Département des Peintures"
cl010053078;"Psyché et l'Amour";"Boullogne, Bon ; France ; Giulio Romano (Giulio Pippi, dit aussi Jules Romain)";"1600 / 1700  (XVIIe siècle)";"INV 6672; MR 2161; D 1938.25";"Département des Peintures"
cl010053079;"Le Martyre de saint Simon";"Boullogne, Louis I de, dit Le Père ; France";1648;"MI 301; D 938 13";"Département des Peintures"
cl010053080;"Le Miracle de saint Paul";"Boullogne, Louis I de, dit Le Père ; France";1646;"MI 334; D 938 14";"Département des Peintures"
cl010053081;"Le Repos pendant la fuite en Égypte";"Boullogne, Louis II de, dit Le Jeune ; France";1715;"MI 305; D 938 16";"Département des Peintures"
cl010053082;"Le Centurion auprès du Christ";"Boullogne, Louis II de, dit Le Jeune ; France";1685;"MI 334 bis; D 938 15";"Département des Peintures"
cl010053083;"Pan et Syrinx";"Boullogne, Bon ; France";"1600 / 1700  (XVIIe siècle)";"INV 2777; D 954 1; B 373";"Département des Peintures"
cl010053084;"Le Christ guérissant le paralytique";"Boullogne, Bon ; France";1678;"MI 304; D 938 12";"Département des Peintures"
cl010053085;"Décollation de saint Protais";"Bourdon, Sébastien ; France";"1600 / 1700  (XVIIe siècle)";"INV 2808; MR 1258; D 938 11";"Département des Peintures"
cl010053086;"Le Sacrifice de Noé à la sortie de l'arche";"Bourdon, Sébastien ; France";1640;"INV 2799; MR 1262; D 957 1";"Département des Peintures"
cl010053087;"Le Christ et la Cananéenne";"Cazes, Pierre-Jacques ; France";"1700 / 1800  (XVIIIe siècle)";"MI 307; D 938 18";"Département des Peintures"
cl010053088;"Présentation de la Vierge au Temple";"Champaigne, Philippe de ; France";1638;"MI 327; D 958 2";"Département des Peintures"
cl010053089;"Nativité de la Vierge";"Champaigne, Philippe de ; France";"1636 / 1638  (XVIIe siècle)";"MI 328; D 958 1";"Département des Peintures"
cl010053090;"Halte de troupes à l'entrée d'un village";"Charlet, Nicolas Toussaint ; France";"1800 / 1900  (XIXe siècle)";"RF 1471; D 927 2";"Département des Peintures"
cl010053091;"Tête de pâtre des Marais Pontins";"Chassériau, Théodore ; France";1841;"RF 3869; D 936 1";"Département des Peintures"
cl010053092;"Saint Paul et saint Barnabé refusant les honneurs divins à Lystre";"Corneille, Michel I ; France";1644;"MI 336; D 938 19";"Département des Peintures"
cl010053093;"La Vocation de saint Pierre et de saint André";"Corneille, Michel II ; France";1672;"MI 309; D 938 20";"Département des Peintures"
cl010053094;"Chaumière au bord d'une route";"Corot, Jean-Baptiste Camille ; France";1842;"RF 1358; D 955 1";"Département des Peintures"
cl010053096;"Le Lévite d'Ephraïm";"Couder, Auguste ; France";1817;"INV 3376; L 3563; D 926 8";"Département des Peintures"
cl010053097;"La Mort de César";"Court, Joseph-Désiré ; France";"1800 / 1900  (XIXe siècle)";"INV 3415; C 246; D 926 9";"Département des Peintures"
cl010053098;"Offrande à Esculape";"Guérin, Pierre-Narcisse ; France";1803;"INV 5181; MR 1792; D 926 16";"Département des Peintures"
cl010053099;"Les Citoyens de Calais dans la tente d'Édouard, roi d'Angleterre";"Fragonard, Alexandre-Évariste ; France";"1800 / 1900  (XIXe siècle)";"INV 4546; L 3845";"Département des Peintures"
cl010053100;"Énée arrivant à la cour de Didon";"Coypel, Antoine ; France";"1616 / 1617  (XVIIe siècle)";"INV 3514; MR 1390";"Département des Peintures"
cl010053101;"Jésus chassant les marchands du Temple";"France ; Hallé, Claude-Guy";1700;"MI 312; D 938 22";"Département des Peintures"
cl010053102;"Portrait équestre de Louis XIV";"France ; Houasse, René-Antoine";1679;"INV 2949; MR 2412; D 951 1";"Département des Peintures"
cl010053103;"Jésus chassant les marchands du temple";"Jouvenet, Jean ; France";1714;"INV 5491; MR 1869; D 938 24";"Département des Peintures"
cl010053104;"Repas chez Simon";"Jouvenet, Jean ; France";"vers 1711";"INV 5492; MR 1870; D 938 23";"Département des Peintures"
cl010053105;"La Mort de Caton d'Utique";"Le Brun, Charles ; France";1646;"INV 2893; MR 1920; D 951 2";"Département des Peintures"
cl010053106;"Naufrage du vaisseau l'Algésiras";"Mayer, Auguste ; France";"1800 / 1900  (XIXe siècle)";"INV 6593; LP 6823";"Département des Peintures"
cl010053107;"L'Enlèvement d'Europe";"Pierre, Jean-Baptiste-Marie ; France";1757;"INV 7226; MR 2305";"Département des Peintures"
cl010053108;"Danse des bergers et des bergères";"Monier, Pierre ; France";"1600 / 1700  (XVIIe siècle)";"INV 6676; MR 2168; D 938 26";"Département des Peintures"
cl010053109;"L'Entrée de Marc-Antoine à Ephèse";"Natoire, Charles-Joseph ; France";1741;"INV 6856; MR 2198";"Département des Peintures"
cl010053111;"Le Christ guérissant le paralytique, dit aussi La Piscine probatique";"France ; Restout, Jean II";1725;"INV 7441; MR 2368; D 926 17";"Département des Peintures"
cl010053112;"La Prédication de saint Jean Baptiste dans le désert";"France ; Parrocel, Joseph";1693;"MI 319; D 938 17";"Département des Peintures"
cl010053113;L'Annonciation;"Poerson, Charles ; France";"1651 / 1652  (XVIIe siècle)";"MI 303; D 938 28";"Département des Peintures"
cl010053114;"Briséis emmenée de la tente d'Achille";"Vien, Joseph-Marie ; France";1781;"INV 8426; MR 2666; D 938 34";"Département des Peintures"
cl010053115;"La Danse d'une nymphe et d'un satyre";"Ubeleski, Alexandre ; France";"1686 / 1690  (XVIIe siècle)";"INV 6666; MR 2143; D 938 32";"Département des Peintures"
cl010053116;"Jésus réssuscitant la fille de Jaïre";"France ; Vernansal, Guy Louis";1688;"MI 326; D 938 33";"Département des Peintures"
cl010053118;"Diseuse de bonne aventure ; elle prédit l'avenir au jeune berger Montalte, qui fut depuis Sixte-Quint, dit aussi l'Enfance de Sixte-Quint";"France ; Schnetz, Jean Victor";1824;"INV 7889; D 926 20; C 12";"Département des Peintures"
cl010053119;"La Guérison du paralytique";"France ; Silvestre, Louis de";1703;"MI 322; D 938 29";"Département des Peintures"
cl010053120;"Jésus chez Marthe et Marie";"France ; Simpol, Claude";1704;"MI 323; D 938 30";"Département des Peintures"
cl010053121;"Un Ermite prêchant, dit aussi Pierre l'Hermite prêchant la première croisade (1095)";"Taunay, Nicolas Antoine ; France";"1800 / 1900  (XIXe siècle)";"INV 8117; LP 6671; D 926 19";"Département des Peintures"
cl010053122;"Saint Pierre ressuscite la veuve de Tabithe";"France ; Testelin, Louis";1652;"MI 324; D 938 31";"Département des Peintures"
cl010053123;"La Charité romaine";"Bachelier, Jean Jacques ; France";1764;"INV 2380; B 395; MRA 118";"Département des Peintures"
cl010053124;"Cléobis et Biton s'attachant au char de leur mère";"Alizard, Jean-Baptiste ; France";1764;"INV 2308; B 1313";"Département des Peintures"
cl010053125;"Portrait du sculpteur Adam (le jeune)";"Aubry, Étienne ; France";"1750 / 1800  (2e moitié du XVIIIe siècle)";"INV 2362; B 383";"Département des Peintures"
cl010053126;"Ulysse reconnu par sa nourrice Euryclée";"Belle, Clément ; France";1761;"INV 2495; MR 1175";"Département des Peintures"
cl010053127;"Alexandre le Grand coupant le noeud gordien";"Berthélemy, Jean-Simon ; France";1767;"INV 2527; B 1290";"Département des Peintures"
cl010053128;"Vue intérieure de la Salle du XVe s. au Musée des Monuments Français";"Bouton, Charles Marie ; France";"1800 / 1900  (XIXe siècle)";"INV 2831; L 3464";"Département des Peintures"
cl010053129;"Les Pythiens";"Bouzonnet-Stella, Antoine ; France";"1600 / 1700  (XVIIe siècle)";"INV 2840 bis; B 528";"Département des Peintures"
cl010053130;"Le JeuneThésée retrouve les armes d'Egée, son père";"Brenet, Nicolas Guy ; France";"1700 / 1800  (XVIIIe siècle)";"INV 2851; MR 1278";"Département des Peintures"
cl010053131;"Mars et Rhéa Sylvia";"Colombel, Nicolas ; France";"1600 / 1700  (XVIIe siècle)";"INV 3319; MR 1345";"Département des Peintures"
cl010053132;"Hercule punissant Busiris";"Corneille, Jean Baptiste ; France";"1600 / 1700  (XVIIe siècle)";"INV 3347; MR 1348";"Département des Peintures"
cl010053133;"Loth et ses filles";"Courtin, Jacques François ; France";1710;"INV 3436; B 505";"Département des Peintures"
cl010053134;"Hercule délivrant Hésione";"Delaistre, Jacques Antoine ; France";1722;"INV 3827; B 1608; MRA 112";"Département des Peintures"
cl010053135;"Hercule entre le Vice et la Vertu";"Delobel, Nicolas ; France";1733;"INV 3853 bis; B 1020";"Département des Peintures"
cl010053136;"Une Mère (en costume de Cauchoise) dans sa cuisine avec deux de ses enfants";"Descamps, Jean Baptiste ; France";1764;"INV 3866; MR 1460";"Département des Peintures"
cl010053137;"Les Pasteurs";"Domenchin de Chavanne, Pierre-Salomon ; France";1709;"INV 3228; MR 1331; MRA 108";"Département des Peintures"
cl010053138;"Laomédon puni par Apollon et par Neptune";"Dulin, Pierre ; France";"1700 / 1800  (XVIIIe siècle)";"INV 4278; MR 1554";"Département des Peintures"
cl010053139;"Adam et Ève";"Dumons, Jean Joseph, dit Dumons de Tulle ; France";1735;"INV 4282; B 1053; MRA 116";"Département des Peintures"
cl010053140;"Portrait de l'artiste";"Favanne, Henri de ; France";"1700 / 1750  (1e moitié du XVIIIe siècle)";"INV 4375; B 613; Mu 1467";"Département des Peintures"
cl010053141;"Prométhée attaché sur le Caucase";"France ; Frontier, Jean Charles";1744;"INV 4641; MR 1719; MRA 117";"Département des Peintures"
cl010053142;"Hercule rendant Alceste à Admète";"France ; Galloche, Louis";1711;"INV 4656; MR 1720; MRA 110; MU 2898";"Département des Peintures"
cl010053143;"Alexandre coupant le noeud gordien";"Godefroy, Jean François ; France";1767;"INV 4978; B 637";"Département des Peintures"
cl010053144;"La Défaite de l'Hydre de Lerne";"Houasse, René-Antoine ; France";"1673 / 1700  (3e quart du XVIIe siècle)";"INV 5372; B 652";"Département des Peintures"
cl010053145;"Jupiter foudroyant les Titans";"Le Blond, Jean ; France";"1600 / 1700  (XVIIe siècle)";"INV 2623; MR 1911";"Département des Peintures"
cl010053146;"L'Enlèvement de Proserpine";"France ; La Fosse, Charles de";1673;"INV 4536; MR 1694; MRA 95";"Département des Peintures"
cl010053147;"Ustensiles de cuisine";"France ; Jeaurat de Bertry, Nicolas Henri";1756;"INV 5448 bis; MR 1858; INV 2559";"Département des Peintures"
cl010053148;"Niobé et ses enfants percés de flèches par Apollon et Diane";"Jombert, Charles Pierre ; France";1772;"INV 8656; B 1355";"Département des Peintures"
cl010053149;"Achille dépose aux pieds de Patrocle le corps d'Hector";"Lacour, Pierre ; France";1769;"INV 5531; B 697";"Département des Peintures"
cl010053150;"La Paix d'Aix-la-Chapelle";"Friquet, Jacques Claude ; France";"1600 / 1700  (XVIIe siècle)";"INV 4640; B 1642";"Département des Peintures"
cl010053151;Autoportrait;"Grimou, Alexis ; France";"1700 / 1800  (XVIIIe siècle)";"INV 5046; MR 1781; MU 1469";"Département des Peintures"
cl010053152;"Jupiter endormi sur le Mont Ida";"France ; Le Barbier, Jean Jacques François";1785;"INV 2412; MR 1909";"Département des Peintures"
cl010053153;"Saint André";"France ; Rigaud, Hyacinthe";1689;"INV 7491; MR 2389; MRA 103";"Département des Peintures"
cl010053154;Autoportrait;"Rigaud, Hyacinthe ; France";"1600 / 1700  (XVIIe siècle)";"INV 7517; MR 2405";"Département des Peintures"
